operator_id,training_module,attended,date
OP_001,AI Basics,Yes,2024-03-09
OP_001,Digital Twin,No,2024-03-03
OP_001,Change Readiness,Yes,2024-03-08
OP_001,Safety 4.0,Yes,2024-03-07
OP_002,AI Basics,Yes,2024-03-10
OP_002,Digital Twin,Yes,2024-03-14
OP_002,Change Readiness,Yes,2024-03-29
OP_002,Safety 4.0,Yes,2024-03-06
OP_003,AI Basics,Yes,2024-03-17
OP_003,Digital Twin,Yes,2024-03-16
OP_003,Change Readiness,No,2024-03-07
OP_003,Safety 4.0,Yes,2024-03-02
OP_004,AI Basics,Yes,2024-03-07
OP_004,Digital Twin,Yes,2024-03-16
OP_004,Change Readiness,Yes,2024-03-24
OP_004,Safety 4.0,Yes,2024-03-18
OP_005,AI Basics,No,2024-03-01
OP_005,Digital Twin,Yes,2024-03-16
OP_005,Change Readiness,No,2024-03-21
OP_005,Safety 4.0,Yes,2024-03-02
OP_006,AI Basics,Yes,2024-03-23
OP_006,Digital Twin,Yes,2024-03-27
OP_006,Change Readiness,Yes,2024-03-19
OP_006,Safety 4.0,Yes,2024-03-10
OP_007,AI Basics,Yes,2024-03-23
OP_007,Digital Twin,Yes,2024-03-26
OP_007,Change Readiness,No,2024-03-15
OP_007,Safety 4.0,Yes,2024-03-16
OP_008,AI Basics,Yes,2024-03-15
OP_008,Digital Twin,No,2024-03-26
OP_008,Change Readiness,Yes,2024-03-26
OP_008,Safety 4.0,No,2024-03-12
OP_009,AI Basics,Yes,2024-03-22
OP_009,Digital Twin,No,2024-03-10
OP_009,Change Readiness,Yes,2024-03-24
OP_009,Safety 4.0,Yes,2024-03-28
OP_010,AI Basics,Yes,2024-03-06
OP_010,Digital Twin,Yes,2024-03-05
OP_010,Change Readiness,Yes,2024-03-11
OP_010,Safety 4.0,Yes,2024-03-23
OP_011,AI Basics,Yes,2024-03-22
OP_011,Digital Twin,No,2024-03-10
OP_011,Change Readiness,No,2024-03-03
OP_011,Safety 4.0,Yes,2024-03-07
OP_012,AI Basics,No,2024-03-22
OP_012,Digital Twin,Yes,2024-03-11
OP_012,Change Readiness,Yes,2024-03-08
OP_012,Safety 4.0,Yes,2024-03-17
OP_013,AI Basics,Yes,2024-03-19
OP_013,Digital Twin,Yes,2024-03-10
OP_013,Change Readiness,Yes,2024-03-02
OP_013,Safety 4.0,Yes,2024-03-02
OP_014,AI Basics,Yes,2024-03-20
OP_014,Digital Twin,No,2024-03-08
OP_014,Change Readiness,Yes,2024-03-18
OP_014,Safety 4.0,Yes,2024-03-23
OP_015,AI Basics,Yes,2024-03-12
OP_015,Digital Twin,Yes,2024-03-29
OP_015,Change Readiness,Yes,2024-03-26
OP_015,Safety 4.0,No,2024-03-17
OP_016,AI Basics,Yes,2024-03-27
OP_016,Digital Twin,Yes,2024-03-10
OP_016,Change Readiness,Yes,2024-03-19
OP_016,Safety 4.0,Yes,2024-03-07
OP_017,AI Basics,Yes,2024-03-24
OP_017,Digital Twin,Yes,2024-03-30
OP_017,Change Readiness,No,2024-03-16
OP_017,Safety 4.0,Yes,2024-03-03
OP_018,AI Basics,Yes,2024-03-07
OP_018,Digital Twin,Yes,2024-03-05
OP_018,Change Readiness,No,2024-03-05
OP_018,Safety 4.0,Yes,2024-03-14
OP_019,AI Basics,Yes,2024-03-05
OP_019,Digital Twin,No,2024-03-23
OP_019,Change Readiness,Yes,2024-03-22
OP_019,Safety 4.0,No,2024-03-30
OP_020,AI Basics,Yes,2024-03-04
OP_020,Digital Twin,Yes,2024-03-08
OP_020,Change Readiness,No,2024-03-11
OP_020,Safety 4.0,No,2024-03-25
OP_021,AI Basics,Yes,2024-03-20
OP_021,Digital Twin,Yes,2024-03-27
OP_021,Change Readiness,No,2024-03-23
OP_021,Safety 4.0,Yes,2024-03-16
OP_022,AI Basics,Yes,2024-03-19
OP_022,Digital Twin,Yes,2024-03-17
OP_022,Change Readiness,Yes,2024-03-06
OP_022,Safety 4.0,Yes,2024-03-07
OP_023,AI Basics,Yes,2024-03-23
OP_023,Digital Twin,Yes,2024-03-20
OP_023,Change Readiness,Yes,2024-03-02
OP_023,Safety 4.0,Yes,2024-03-08
OP_024,AI Basics,Yes,2024-03-20
OP_024,Digital Twin,Yes,2024-03-23
OP_024,Change Readiness,Yes,2024-03-09
OP_024,Safety 4.0,Yes,2024-03-26
OP_025,AI Basics,No,2024-03-27
OP_025,Digital Twin,Yes,2024-03-03
OP_025,Change Readiness,No,2024-03-06
OP_025,Safety 4.0,Yes,2024-03-20
OP_026,AI Basics,Yes,2024-03-04
OP_026,Digital Twin,Yes,2024-03-30
OP_026,Change Readiness,Yes,2024-03-08
OP_026,Safety 4.0,Yes,2024-03-12
OP_027,AI Basics,Yes,2024-03-05
OP_027,Digital Twin,Yes,2024-03-28
OP_027,Change Readiness,Yes,2024-03-30
OP_027,Safety 4.0,No,2024-03-04
OP_028,AI Basics,Yes,2024-03-14
OP_028,Digital Twin,Yes,2024-03-19
OP_028,Change Readiness,Yes,2024-03-19
OP_028,Safety 4.0,Yes,2024-03-06
OP_029,AI Basics,Yes,2024-03-28
OP_029,Digital Twin,Yes,2024-03-10
OP_029,Change Readiness,Yes,2024-03-12
OP_029,Safety 4.0,Yes,2024-03-14
OP_030,AI Basics,Yes,2024-03-15
OP_030,Digital Twin,Yes,2024-03-24
OP_030,Change Readiness,Yes,2024-03-04
OP_030,Safety 4.0,Yes,2024-03-24
OP_031,AI Basics,Yes,2024-03-01
OP_031,Digital Twin,Yes,2024-03-16
OP_031,Change Readiness,Yes,2024-03-17
OP_031,Safety 4.0,No,2024-03-30
OP_032,AI Basics,Yes,2024-03-16
OP_032,Digital Twin,Yes,2024-03-21
OP_032,Change Readiness,Yes,2024-03-06
OP_032,Safety 4.0,Yes,2024-03-12
OP_033,AI Basics,Yes,2024-03-19
OP_033,Digital Twin,Yes,2024-03-02
OP_033,Change Readiness,Yes,2024-03-01
OP_033,Safety 4.0,Yes,2024-03-22
OP_034,AI Basics,Yes,2024-03-02
OP_034,Digital Twin,Yes,2024-03-01
OP_034,Change Readiness,Yes,2024-03-29
OP_034,Safety 4.0,Yes,2024-03-06
OP_035,AI Basics,Yes,2024-03-17
OP_035,Digital Twin,No,2024-03-06
OP_035,Change Readiness,Yes,2024-03-02
OP_035,Safety 4.0,No,2024-03-11
OP_036,AI Basics,Yes,2024-03-06
OP_036,Digital Twin,Yes,2024-03-22
OP_036,Change Readiness,Yes,2024-03-18
OP_036,Safety 4.0,No,2024-03-20
OP_037,AI Basics,Yes,2024-03-15
OP_037,Digital Twin,Yes,2024-03-11
OP_037,Change Readiness,No,2024-03-25
OP_037,Safety 4.0,No,2024-03-01
OP_038,AI Basics,Yes,2024-03-20
OP_038,Digital Twin,Yes,2024-03-04
OP_038,Change Readiness,Yes,2024-03-29
OP_038,Safety 4.0,Yes,2024-03-03
OP_039,AI Basics,No,2024-03-11
OP_039,Digital Twin,Yes,2024-03-10
OP_039,Change Readiness,No,2024-03-08
OP_039,Safety 4.0,Yes,2024-03-19
OP_040,AI Basics,Yes,2024-03-28
OP_040,Digital Twin,Yes,2024-03-11
OP_040,Change Readiness,Yes,2024-03-11
OP_040,Safety 4.0,Yes,2024-03-29
OP_041,AI Basics,No,2024-03-24
OP_041,Digital Twin,Yes,2024-03-10
OP_041,Change Readiness,Yes,2024-03-21
OP_041,Safety 4.0,Yes,2024-03-19
OP_042,AI Basics,Yes,2024-03-20
OP_042,Digital Twin,No,2024-03-04
OP_042,Change Readiness,Yes,2024-03-14
OP_042,Safety 4.0,Yes,2024-03-29
OP_043,AI Basics,No,2024-03-17
OP_043,Digital Twin,Yes,2024-03-23
OP_043,Change Readiness,No,2024-03-19
OP_043,Safety 4.0,Yes,2024-03-12
OP_044,AI Basics,Yes,2024-03-04
OP_044,Digital Twin,No,2024-03-05
OP_044,Change Readiness,Yes,2024-03-06
OP_044,Safety 4.0,Yes,2024-03-22
OP_045,AI Basics,Yes,2024-03-07
OP_045,Digital Twin,Yes,2024-03-30
OP_045,Change Readiness,No,2024-03-28
OP_045,Safety 4.0,Yes,2024-03-10
OP_046,AI Basics,No,2024-03-11
OP_046,Digital Twin,Yes,2024-03-02
OP_046,Change Readiness,Yes,2024-03-19
OP_046,Safety 4.0,Yes,2024-03-23
OP_047,AI Basics,No,2024-03-29
OP_047,Digital Twin,No,2024-03-18
OP_047,Change Readiness,Yes,2024-03-08
OP_047,Safety 4.0,Yes,2024-03-24
OP_048,AI Basics,Yes,2024-03-03
OP_048,Digital Twin,No,2024-03-23
OP_048,Change Readiness,Yes,2024-03-25
OP_048,Safety 4.0,Yes,2024-03-27
OP_049,AI Basics,Yes,2024-03-16
OP_049,Digital Twin,No,2024-03-11
OP_049,Change Readiness,No,2024-03-28
OP_049,Safety 4.0,Yes,2024-03-20
OP_050,AI Basics,Yes,2024-03-25
OP_050,Digital Twin,Yes,2024-03-26
OP_050,Change Readiness,Yes,2024-03-18
OP_050,Safety 4.0,Yes,2024-03-06
